asset,symbol,entry_mode,exit_config,market_cost_bps,net_ret,gross_ret,exit_reason,confirmed_at_close,preview_only,lead_minutes,delay_penalty_bps,delay_pct_of_tp175
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.004979158714615295,0.00699213599446824,fixed_hold,1,0,13.0,12.2698858871928,19.5869230620042
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.0033858372782145096,0.005395623128848892,fixed_hold,1,0,1.0,-0.8312176171487717,-0.8304195804213522
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.002245108488297287,0.004252609454597267,fixed_hold,1,0,11.0,-34.64429482383902,-36.05886215287112
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.0070091751062455465,0.009026218517061313,fixed_hold,1,0,12.0,-0.5684393497651374,-1.3149357671177848
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,-0.005752009480849085,-0.0037605267738700654,fixed_hold,1,0,14.0,-12.800196879934056,-11.438724709590574
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.005187108494395742,0.007200502298490452,fixed_hold,1,0,11.0,-1.4099181060200916,-1.0181317946085606
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.0017907214646775138,0.0037973122919492397,fixed_hold,1,0,10.0,-16.84440882751881,-19.98902706656983
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.000928750902478459,0.00293361519926183,fixed_hold,1,0,8.0,23.65912896694411,39.55547117505578
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.04314104254113671,0.045230458227132786,fixed_hold,1,0,5.0,-18.112499585268836,-21.331400156581886
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,-0.007909707040788305,-0.00592254621066346,fixed_hold,1,0,11.0,13.035226973638903,18.98024102046109
