factor_id,fee_bps,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,positive_month_rate,avg_turnover
breakout_dist_20h,0,0.6803619040831665,0.29122942999081225,0.43424757128071106,0.6706529851897607,0.5981641898826908,0.6,0.3011009459738496
breakout_dist_20h,2,-0.4243279376287271,-0.23810658906481585,0.4342660000887322,-0.5482966408057833,0.5981641898826908,0.6,0.3011009459738496
breakout_dist_20h,5,-0.8845814819980632,-0.6546958615028395,0.4343082876335881,-1.5074450111695437,0.5981641898826908,0.6,0.3011009459738496
breakout_dist_20h,10,-0.992075820763542,-0.9076781122067437,0.4344178044414529,-2.0894127794181436,0.5981641898826908,0.6,0.3011009459738496
breakout_dist_20h,20,-0.9999626981828124,-0.9934048618310818,0.43478307548273676,-2.2848287291958433,0.5981641898826908,0.6,0.3011009459738496
breakout_dist_48h,0,0.7074379962527655,0.30197478245905285,0.44684269404557586,0.6757966203387289,0.5640777438777871,0.6,0.20785043378770254
breakout_dist_48h,2,-0.1839532989798799,-0.09540532499838028,0.44683214388231807,-0.21351491002739303,0.5640777438777871,0.6,0.20785043378770254
breakout_dist_48h,5,-0.7303873018887452,-0.47613845394611154,0.44682848005109826,-1.0655955813104425,0.5640777438777871,0.6,0.20785043378770254
breakout_dist_48h,10,-0.9574365849080094,-0.789243246364394,0.44685480410590306,-1.7662185549141955,0.5640777438777871,0.6,0.20785043378770254
breakout_dist_48h,20,-0.9989399392197617,-0.9658992053154157,0.44702902668918143,-2.1607080248661434,0.5640777438777871,0.6,0.20785043378770254
candle_body,0,-0.9247896567962808,-0.7199765209860081,0.4221477018700691,-1.7055085644114352,0.9526076393077546,0.24,0.7897499271523977
candle_body,2,-0.9954867868201307,-0.9298311189063238,0.42215338698610055,-2.2025906875809067,0.9526076393077546,0.24,0.7897499271523977
candle_body,5,-0.9999337121780218,-0.991201869723308,0.4221686222952446,-2.347881432623642,0.9526076393077546,0.24,0.7897499271523977
candle_body,10,-0.9999999417394791,-0.9997239496241739,0.4222118990684253,-2.367825141427752,0.9526076393077546,0.24,0.7897499271523977
candle_body,20,-0.9999999999999554,-0.999999729352659,0.4223654906204103,-2.367617032072779,0.9526076393077546,0.24,0.7897499271523977
candle_wick_upper,0,13.980183100149997,2.7869145442893957,0.3676756553215026,7.57981798346824,0.5158593042964266,0.8,0.7773424692565905
candle_wick_upper,2,-0.05965454594226449,-0.029805113351053403,0.3676667290397655,-0.08106557106457624,0.5158593042964266,0.8,0.7773424692565905
candle_wick_upper,5,-0.9852228626521824,-0.8742390680904566,0.3676597286172727,-2.377848320180109,0.5158593042964266,0.8,0.7773424692565905
candle_wick_upper,10,-0.9999854625666976,-0.9958291210808846,0.36766509936533875,-2.7085223014092956,0.5158593042964266,0.8,0.7773424692565905
candle_wick_upper,20,-0.9999999999860443,-0.9999954306479741,0.3677397257855372,-2.719302160004229,0.5158593042964266,0.8,0.7773424692565905
candle_wick_lower,0,-0.9017575331288077,-0.6806475034790932,0.3658220181598632,-1.8605974208519405,0.910139840387751,0.2,0.7771921376154821
candle_wick_lower,2,-0.9938346690595081,-0.9181934425182234,0.36583260840969883,-2.509873153488634,0.910139840387751,0.2,0.7771921376154821
