factor_id,check,status,detail
mom_120h,ls_btc_corr,OK,ls_btc_corr=0.1188
mom_120h,source_metadata,OK,All source metadata present
mom_20h,factor_values,OK,factor_values.parquet exists
mom_20h,factor_level_rankic,OK,4 horizon(s)
mom_20h,period_ic,OK,100 rows
mom_20h,period_ls,OK,100 rows
mom_20h,ls_aggregate,MISSING,LS aggregate fields are NaN
mom_20h,cumulative_ls,OK,100 rows
mom_20h,paper_payload,OK,Present in payload
mom_20h,regime_btc,OK,regime=VOL_DEPENDENT
mom_20h,quantile_shape,OK,shape=NO_CLEAR_SHAPE
mom_20h,rolling_stability,OK,stability=
mom_20h,decile_shape,OK,shape=BOTH_TAILS_U_SHAPED
mom_20h,capacity_liquidity,OK,class=
mom_20h,pairwise_redundancy,OK,77 pairs
mom_20h,cluster,OK,cluster=1
mom_20h,marginal_info,OK,novelty=HIGHLY_REDUNDANT
mom_20h,scorecard_not_stale,OK,"rankic=-0.030030, coverage=0.9984"
mom_20h,unified_profile,OK,score=49.3
mom_20h,ls_btc_corr,OK,ls_btc_corr=0.0406
mom_20h,source_metadata,OK,All source metadata present
mom_40h,factor_values,OK,factor_values.parquet exists
mom_40h,factor_level_rankic,OK,4 horizon(s)
mom_40h,period_ic,OK,100 rows
mom_40h,period_ls,OK,100 rows
mom_40h,ls_aggregate,MISSING,LS aggregate fields are NaN
mom_40h,cumulative_ls,OK,100 rows
mom_40h,paper_payload,OK,Present in payload
mom_40h,regime_btc,OK,regime=BEAR_DEPENDENT
mom_40h,quantile_shape,OK,shape=NO_CLEAR_SHAPE
mom_40h,rolling_stability,OK,stability=
mom_40h,decile_shape,OK,shape=NONLINEAR_MIXED
mom_40h,capacity_liquidity,OK,class=
mom_40h,pairwise_redundancy,OK,77 pairs
mom_40h,cluster,OK,cluster=13
mom_40h,marginal_info,OK,novelty=HIGHLY_REDUNDANT
mom_40h,scorecard_not_stale,OK,"rankic=-0.028434, coverage=0.9968"
mom_40h,unified_profile,OK,score=44.0
mom_40h,ls_btc_corr,OK,ls_btc_corr=0.1034
mom_40h,source_metadata,OK,All source metadata present
mom_5h,factor_values,OK,factor_values.parquet exists
mom_5h,factor_level_rankic,OK,4 horizon(s)
mom_5h,period_ic,OK,100 rows
mom_5h,period_ls,OK,100 rows
mom_5h,ls_aggregate,MISSING,LS aggregate fields are NaN
mom_5h,cumulative_ls,OK,100 rows
mom_5h,paper_payload,OK,Present in payload
mom_5h,regime_btc,OK,regime=BEAR_DEPENDENT
