factor_id,horizon,month,rank_ic,rolling_ic_3m,rolling_ic_6m,long_short_return,rolling_ls_3m,rolling_ls_6m
bb_zscore_20h,72h,2024-08,0.002063,0.005275,0.005275,-0.00040475,-0.00117635,-0.00117635
bb_zscore_20h,72h,2024-09,-0.024717,-0.015966,-0.002223,-0.00058575,0.00128643,-0.0010287
bb_zscore_20h,72h,2024-10,-0.052669,-0.025108,-0.012312,0.00713471,0.00204807,0.00060398
bb_zscore_20h,72h,2024-11,0.025369,-0.017339,-0.006032,-0.01544868,-0.00296657,-0.00207146
bb_zscore_20h,72h,2024-12,-0.025461,-0.017587,-0.016777,-0.00125307,-0.00318901,-0.00095129
bb_zscore_20h,72h,2025-01,0.022069,0.007326,-0.008891,-0.00751633,-0.00807269,-0.00301231
bb_zscore_20h,72h,2025-02,-0.020181,-0.007858,-0.012598,-0.00247977,-0.00374972,-0.00335815
bb_zscore_20h,72h,2025-03,-0.011687,-0.003266,-0.010427,0.00388045,-0.00203855,-0.00261378
bb_zscore_20h,72h,2025-04,-0.009776,-0.013881,-0.003278,-0.00521453,-0.00127128,-0.00467199
bb_zscore_20h,72h,2025-05,-0.039238,-0.020234,-0.014046,0.00209063,0.00025218,-0.00174877
bb_zscore_20h,72h,2025-06,-0.049362,-0.032792,-0.018029,0.00365192,0.00017601,-0.00093127
bb_zscore_20h,72h,2025-07,-0.003676,-0.030759,-0.02232,-0.00287037,0.00095739,-0.00015695
bb_zscore_20h,72h,2025-08,-0.035616,-0.029551,-0.024892,-0.01765062,-0.00562302,-0.00268542
bb_zscore_20h,72h,2025-09,-0.008691,-0.015994,-0.024393,-0.01961749,-0.01337949,-0.00660174
bb_zscore_20h,72h,2025-10,-0.020469,-0.021592,-0.026175,-0.00667291,-0.01464701,-0.00684481
bb_zscore_20h,72h,2025-11,-0.010783,-0.013314,-0.021433,0.00421753,-0.00735762,-0.00649032
bb_zscore_20h,72h,2025-12,-0.035526,-0.022259,-0.019127,0.00468792,0.00074418,-0.00631766
bb_zscore_20h,72h,2026-01,7.5e-05,-0.015411,-0.018502,-0.00962319,-0.00023925,-0.00744313
bb_zscore_20h,72h,2026-02,-0.013773,-0.016408,-0.014861,-0.00452467,-0.00315331,-0.00525547
bb_zscore_20h,72h,2026-03,-0.016259,-0.009985,-0.016122,-0.00190985,-0.00535257,-0.00230419
bb_zscore_20h,72h,2026-04,-0.030881,-0.020304,-0.017858,-0.01234947,-0.00626133,-0.00325029
bb_zscore_20h,72h,2026-05,-0.001202,-0.016114,-0.016261,-0.0076203,-0.00729321,-0.00522326
bb_zscore_20h,72h,2026-06,-0.002228,-0.011437,-0.010711,-0.01650274,-0.0121575,-0.00875504
breakout_dist_20h,1h,2024-06,0.002247,0.002247,0.002247,0.00017436,0.00017436,0.00017436
breakout_dist_20h,1h,2024-07,-0.012525,-0.005139,-0.005139,-6.353e-05,5.542e-05,5.542e-05
breakout_dist_20h,1h,2024-08,-0.023937,-0.011405,-0.011405,-0.00019543,-2.82e-05,-2.82e-05
breakout_dist_20h,1h,2024-09,-0.023728,-0.020064,-0.014486,-6.428e-05,-0.00010775,-3.722e-05
breakout_dist_20h,1h,2024-10,-0.031338,-0.026334,-0.017856,-0.00017346,-0.00014439,-6.447e-05
breakout_dist_20h,1h,2024-11,-0.016852,-0.023973,-0.017689,0.00026299,8.42e-06,-9.89e-06
breakout_dist_20h,1h,2024-12,-0.04255,-0.030247,-0.025155,-0.00029301,-6.783e-05,-8.779e-05
breakout_dist_20h,1h,2025-01,-0.008074,-0.022492,-0.024413,0.00010212,2.403e-05,-6.018e-05
breakout_dist_20h,1h,2025-02,-0.000529,-0.017051,-0.020512,0.00031864,4.258e-05,2.55e-05
breakout_dist_20h,1h,2025-03,-0.019034,-0.009212,-0.019729,-0.00022037,6.68e-05,-5.1e-07
breakout_dist_20h,1h,2025-04,-0.02085,-0.013471,-0.017981,-0.00026242,-5.472e-05,-1.534e-05
breakout_dist_20h,1h,2025-05,-0.02018,-0.020021,-0.018536,6.568e-05,-0.00013904,-4.823e-05
breakout_dist_20h,1h,2025-06,-0.023119,-0.021383,-0.015298,-0.00018197,-0.00012624,-2.972e-05
breakout_dist_20h,1h,2025-07,-0.032397,-0.025232,-0.019352,-2.173e-05,-4.601e-05,-5.036e-05
breakout_dist_20h,1h,2025-08,-0.023144,-0.02622,-0.023121,0.00011019,-3.117e-05,-8.51e-05
breakout_dist_20h,1h,2025-09,-0.021815,-0.025785,-0.023584,0.00020303,9.716e-05,-1.454e-05
breakout_dist_20h,1h,2025-10,-0.023998,-0.022986,-0.024109,5.264e-05,0.00012195,3.797e-05
breakout_dist_20h,1h,2025-11,-0.018862,-0.021558,-0.023889,0.00032958,0.00019508,8.196e-05
breakout_dist_20h,1h,2025-12,-0.032948,-0.025269,-0.025527,4.321e-05,0.00014181,0.00011949
breakout_dist_20h,1h,2026-01,-0.025693,-0.025834,-0.02441,0.00013414,0.00016898,0.00014547
breakout_dist_20h,1h,2026-02,-0.018969,-0.02587,-0.023714,0.00037761,0.00018499,0.00019003
breakout_dist_20h,1h,2026-03,-0.019305,-0.021322,-0.023296,0.00022348,0.00024508,0.00019344
breakout_dist_20h,1h,2026-04,-0.025312,-0.021195,-0.023515,0.00021613,0.00027241,0.00022069
breakout_dist_20h,1h,2026-05,-0.026171,-0.023596,-0.024733,-0.00012007,0.00010651,0.00014575
breakout_dist_20h,1h,2026-06,-0.023226,-0.024903,-0.023113,7.298e-05,5.635e-05,0.00015071
breakout_dist_20h,24h,2024-06,0.023723,0.023723,0.023723,0.00250959,0.00250959,0.00250959
breakout_dist_20h,24h,2024-07,-0.00929,0.007216,0.007216,-0.0001625,0.00117355,0.00117355
breakout_dist_20h,24h,2024-08,0.013386,0.009273,0.009273,0.00054125,0.00096278,0.00096278
breakout_dist_20h,24h,2024-09,0.002622,0.00224,0.00761,0.00171944,0.0006994,0.00115195
breakout_dist_20h,24h,2024-10,-0.026824,-0.003605,0.000723,-0.00261172,-0.00011701,0.00039921
breakout_dist_20h,24h,2024-11,-0.010623,-0.011608,-0.001168,0.00170654,0.00027142,0.0006171
breakout_dist_20h,24h,2024-12,-0.023938,-0.020462,-0.009111,-0.00094489,-0.00061669,4.135e-05
breakout_dist_20h,24h,2025-01,0.027042,-0.002506,-0.003056,0.00688228,0.00254798,0.00121548
breakout_dist_20h,24h,2025-02,0.018735,0.00728,-0.002164,0.00485857,0.00359865,0.00193504
breakout_dist_20h,24h,2025-03,0.004852,0.016876,-0.001793,0.00068617,0.00414234,0.00176283
breakout_dist_20h,24h,2025-04,-0.006999,0.005529,0.001511,0.00149579,0.00234684,0.00244741
breakout_dist_20h,24h,2025-05,-0.039309,-0.013819,-0.003269,-0.00248222,-0.00010009,0.00174928
breakout_dist_20h,24h,2025-06,-0.021093,-0.022467,-0.002795,-0.00170504,-0.00089716,0.00162259
breakout_dist_20h,24h,2025-07,-0.000233,-0.020212,-0.007341,-0.00126175,-0.00181634,0.00026525
