factor_id,symbol,selected_rows,missing_rows,missing_rate
bb_zscore_20h,MELANIAUSDT,672,0,0.0
bb_zscore_20h,KGENUSDT,720,0,0.0
bb_zscore_20h,CRVUSDT,8760,0,0.0
bb_zscore_20h,CUSDT,744,0,0.0
bb_zscore_20h,DASHUSDT,1705,0,0.0
bb_zscore_20h,DIAUSDT,720,0,0.0
bb_zscore_20h,DOGSUSDT,3217,0,0.0
bb_zscore_20h,DUSKUSDT,672,0,0.0
bb_zscore_20h,EDENUSDT,289,0,0.0
bb_zscore_20h,EDGEUSDT,744,0,0.0
bb_zscore_20h,EIGENUSDT,1464,0,0.0
bb_zscore_20h,ENJUSDT,744,0,0.0
bb_zscore_20h,ENSOUSDT,2136,0,0.0
bb_zscore_20h,ERAUSDT,744,0,0.0
bb_zscore_20h,ESPUSDT,744,0,0.0
bb_zscore_20h,EVAAUSDT,720,0,0.0
bb_zscore_20h,HUMAUSDT,744,0,0.0
bb_zscore_20h,FFUSDT,720,0,0.0
bb_zscore_20h,FHEUSDT,1416,0,0.0
bb_zscore_20h,FIDAUSDT,289,0,0.0
bb_zscore_20h,FOLKSUSDT,744,0,0.0
bb_zscore_20h,GASUSDT,744,0,0.0
bb_zscore_20h,GIGGLEUSDT,2208,0,0.0
bb_zscore_20h,GOATUSDT,3600,0,0.0
bb_zscore_20h,GUNUSDT,744,0,0.0
bb_zscore_20h,HAEDALUSDT,720,0,0.0
bb_zscore_20h,HBARUSDT,6552,0,0.0
bb_zscore_20h,HEMIUSDT,744,0,0.0
bb_zscore_20h,HIVEUSDT,672,0,0.0
bb_zscore_20h,HMSTRUSDT,1464,0,0.0
bb_zscore_20h,HOMEUSDT,744,0,0.0
bb_zscore_20h,FARTCOINUSDT,11640,0,0.0
mom_20h,UMAUSDT,719,20,0.027816
mom_20h,EDUUSDT,719,20,0.027816
mom_20h,JTOUSDT,719,20,0.027816
mom_20h,ARUSDT,719,20,0.027816
mom_20h,REZUSDT,1439,20,0.013899
mom_20h,PYTHUSDT,1439,20,0.013899
mom_20h,AEVOUSDT,1463,20,0.013671
mom_20h,WUSDT,1463,20,0.013671
mom_20h,BBUSDT,1463,20,0.013671
mom_20h,ETHFIUSDT,2927,20,0.006833
mom_20h,JASMYUSDT,2927,20,0.006833
mom_20h,GALAUSDT,3599,20,0.005557
mom_20h,LDOUSDT,3671,20,0.005448
mom_20h,ENSUSDT,3695,20,0.005413
mom_20h,NOTUSDT,4391,20,0.004555
mom_20h,TONUSDT,4680,20,0.004274
mom_20h,BOMEUSDT,5135,20,0.003895
mom_20h,TRBUSDT,5135,20,0.003895
mom_20h,1000SATSUSDT,5135,20,0.003895
mom_20h,1000FLOKIUSDT,5135,20,0.003895
mom_20h,ETCUSDT,5159,20,0.003877
mom_20h,PEOPLEUSDT,5855,20,0.003416
mom_20h,OPUSDT,7343,20,0.002724
mom_20h,FETUSDT,8063,20,0.00248
mom_20h,ORDIUSDT,8087,20,0.002473
mom_20h,ARBUSDT,8831,20,0.002265
mom_20h,ONDOUSDT,9048,20,0.00221
mom_20h,TIAUSDT,9479,20,0.00211
mom_20h,1000SHIBUSDT,10943,20,0.001828
mom_20h,1000BONKUSDT,11615,20,0.001722
mom_20h,UNIUSDT,12648,20,0.001581
mom_20h,BCHUSDT,14904,20,0.001342
mom_20h,FILUSDT,15624,20,0.00128
mom_20h,WIFUSDT,16031,20,0.001248
mom_20h,DOTUSDT,16344,20,0.001224
mom_20h,SUIUSDT,17064,20,0.001172
mom_20h,LTCUSDT,17064,20,0.001172
mom_20h,WLDUSDT,17064,20,0.001172
mom_20h,NEARUSDT,17136,20,0.001167
mom_20h,BNBUSDT,17808,20,0.001123
mom_20h,AVAXUSDT,17808,20,0.001123
mom_20h,BTCUSDT,17808,20,0.001123
mom_20h,ENAUSDT,17808,20,0.001123
mom_20h,LINKUSDT,17808,20,0.001123
mom_20h,XRPUSDT,17808,20,0.001123
mom_20h,SOLUSDT,17808,20,0.001123
mom_20h,ETHUSDT,17808,20,0.001123
mom_20h,ADAUSDT,17808,20,0.001123
mom_20h,1000PEPEUSDT,17808,20,0.001123
mom_20h,DOGEUSDT,17808,20,0.001123
mom_20h,PROVEUSDT,720,0,0.0
